address,amt
0x23d558fd89e12798bf4f7c2ef16451865847c7ad,32
0x99bbcdb6cefc068f13cec34f9e0b70565843f68e,32
0x8bad39d8f0e7101e3a51fc841462937fa2e0c44b,32
0xd72d910319211d36bc2f8a33215a6cb244857b5a,32
0x7cee10c5bc4a8c99e97a0195419c6124b3ee16a2,32
0xa75fe9769fa4144ca9bed0fe944b5f8f8b6ff226,31
0xfbc8fcd194eff489422e26366a403cab212aa682,31
0x75a7706c8ee7799152f82b249f53f57224cbc010,31
0xb05e44bff6266f741fb7d1e9413412139989f5e6,30
0xde3370a6a523a015e13d9411f907987b602e9ee1,29
0xbae4c7ab616c80ac1493c08d2cf49fbfd59641c8,29
0xe6787a6ea1c9faa825c26640cca4b43c3d8b8d95,29
0xda3d19e28bccc34a51e845461023c5665536b300,28
0x4fab014a308fe0c217565a1c8904b4375f4d2a45,28
0x2fd20e7b7b151ecae7b2330db1b0f93b55f081db,26
0xb6462257736f953e9ffa099f2c7cbb54c4c2c2f1,26
0x28280f09d541ad0badbde815d51e3c03d15b3d96,26
0x66fb4ed3c7482f31d0f28b86cb71dc8e4840542a,26
0x40fa61b2040b9586af120451b0e392d00050b9d9,25
0x557cbabda1c42484436f0432f3867b3b783594ca,24
0xea8abdcc14178376977874b7cd254c59c635c7eb,24
0x37fc7532dde3b6b48be608cd2917d3a27bce6b38,24
0xf0685510eb8923d45f7135b8fed3026dfb5e70a4,23
0x22b679f02adbdb2f20b05005d5b83b5139aeab7e,23
0x5f6875fc69cfa196881550f6e2845112d7a1ce16,23
0xc908151c4db7522a7135105d05ed809495d60b9d,22
0x4d6c261d83a63d9038f54d54d2a1e9759d5be56e,22
0x684718c56b8d35866c48ccebec69cd26c9132dc2,21
0x9b8df4aa98e34334dff04b4ef944813a4443d132,20
0x140e99aeeba295c57025e876f1ad99ceb5f4f9fa,20
0xc8930ed53226e10ccad4e7be35ad26b156f3a8d4,19
0x6265bfe0d01de7501f02f4f795ffac106cdbad98,19
0xeb7e2a062d5d2167acd6dcef559289973abd738e,18
0x9715f0c01b92f316f15b756631e84a791af3e75b,18
0x4840097fbc1721f9f9f010aa6c2fcc5148ac31ad,18
0x008b1492db42b81612509d074311a1d42f1121d8,18
0x2ad901cc93eec191b15df6fc61bef090256e394c,18
0x400150812d68216fe5e2fb6da051a3a101216a2a,17
0x3b8591087845181e9bfe8b696e7d3f84820cbd96,17
0x57d5f10ac41ad539a549bababbbd2e709d72f5a5,17
0xf8c7572edfe207f043d6acb4cd80a0c53346a446,17
0x70b2ee03ed78855c612f9ca0bed658aa740d24c1,17
0xa9b7af79f1f2169cd96445f9b65933ad7463705e,16
0xad050bf165033dd1b86d23a75504e079b2053f2c,16
0xe92b4ec73ce363a3994afb6fb45a6d306cd7dfe6,16
0x17330a40788b29102003b271f79408f6d72b64fa,15
0xc826cc4dc46dc642336e0bd498984c12d4d0387b,15
0x66e13c0916a4504bcad277385f8177983a12a415,15
0xe5a747120c159fa9fff54ab91ef345574ab5a0e6,14
0x4dce42daaba7f77a9fb422c6fb69783b74bcf061,14
0x5835f7d5a82f425831f35d74fe8e12b49e1d134b,13
0xba14bcdcaae5c467b649a7aa5da82de0f825ca13,13
